timestamp,elapsed_s,profile,state,cpu_raw_c,gpu_raw_c,nvidia_power_draw_w,nvidia_power_limit_w,acpi_raw_c,cpu_ewma_c,gpu_ewma_c,acpi_ewma_c,hottest_control_c,curve_source,winning_sensor,cpu_target_percent,gpu_target_percent,acpi_target_percent,requested_pwm,requested_percent,actual_mode,actual_pwm,fan1_rpm,fan2_rpm,note
2026-09-06T19:25:54+03:00,124.1,performance,emergency,87.8,73.0,174.4,,,88.6,73.0,,88.6,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,255,100.0,0,255,6000,5800,waiting for critical release
2026-09-06T19:25:55+03:00,125.2,performance,emergency,88.2,73.0,174.4,,,88.6,73.0,,88.6,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,255,100.0,0,255,6000,5800,waiting for critical release
2026-09-06T19:25:56+03:00,126.3,performance,emergency,87.9,73.0,174.4,,,88.6,73.0,,88.6,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,255,100.0,0,255,6000,5800,waiting for critical release
2026-09-06T19:25:57+03:00,127.4,performance,emergency,87.5,73.0,174.4,,,88.5,73.0,,88.5,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,255,100.0,0,255,6000,5800,waiting for critical release
2026-09-06T19:25:58+03:00,128.5,performance,emergency,86.9,73.0,174.3,,,88.4,73.0,,88.4,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,255,100.0,0,255,6000,5800,waiting for critical release
2026-09-06T19:25:59+03:00,129.6,performance,emergency,87.6,73.0,174.4,,,88.4,73.0,,88.4,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,255,100.0,0,255,6000,5800,waiting for critical release
2026-09-06T19:26:00+03:00,130.7,performance,emergency,88.0,73.0,174.4,,,88.4,73.0,,88.4,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,255,100.0,0,255,6000,5800,waiting for critical release
2026-09-06T19:26:01+03:00,131.8,performance,emergency,87.9,73.0,174.4,,,88.3,73.0,,88.3,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,255,100.0,0,255,6000,5800,waiting for critical release
2026-09-06T19:26:02+03:00,132.9,performance,emergency,88.4,73.0,174.4,,,88.3,73.0,,88.3,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,255,100.0,0,255,6000,5800,waiting for critical release
2026-09-06T19:26:03+03:00,134.0,performance,emergency,88.2,73.0,174.4,,,88.3,73.0,,88.3,hp-vibrance-stx-n22x9-performance,cpu,78.3,46.7,,255,100.0,0,255,6000,5800,waiting for critical release
